Address,Categories,City,Name,Postal Code,Province
7011 Barker Cypress Rd,Fast Food Restaurant and Burger Joint,Cypress,Burger King,77433,TX
2180 Contra Costa Blvd,Fast Food Restaurant,Pleasant Hill,Boston Market,94523,CA
3035 Castro Valley Blvd,Fast Food,Castro Valley,Jack in the Box,94546,CA
4302 Moorpark Ave,Fast Food,San Jose,Round Table Pizza,95129,CA
1751 S Alameda St,Fast Food Restaurants,Compton,El Pollo Loco,90220,CA
2244 Otay Lakes Rd,Fast Food Restaurant,Chula Vista,Arby's,91915,CA
962 East Ave,Fast food restaurants,Chico,Burger King,95926,CA
1170 W Branch St,Fast Food Restaurants,Arroyo Grande,In-N-Out Burger,93420,CA
73196 Highway 111,Fast Food Restaurants,Palm Desert,Copper Oven Artisan Pizza,92260,CA
20900 Roscoe Blvd,Fast Food Restaurant,Canoga Park,Carl's Jr,91304,CA
1760 41st Ave,Fast Food Restaurant,Capitola,McDonald's,95010,CA
401 Las Posas Rd,Fast Food Restaurant,Camarillo,Carl's Jr,93010,CA
2871 Lenwood Rd,"Fast Food Restaurant, Mexican Restaurant, and Taco Place",Barstow,Del Taco,92311,CA
12690 Ramona Blvd,Fast Food Restaurant,Baldwin Park,Del Taco,91706,CA
1210 N Hacienda Blvd,Fast Food,La Puente,Little Caesars Pizza,91744,CA
562 N Main St,Fast Food Restaurant,Bishop,McDonald's,93514,CA
1310 E Lamar St,Fast Food Restaurants,Americus,McDonald's,31709,GA
2009 E Greenville St,Fast Food Restaurant,Anderson,Burger King,29621,SC
2521 W Commonwealth Ave,Fast Food Restaurant,Alhambra,Carl's Jr,91803,CA
3450 Wrightsboro Rd Ste 2340,Fast Food Restaurants,Augusta,Sbarro,30909,GA
810 Oak Ave,Fast Food,Neoga,Casey's General Store,62447,IL
701 S Van Buren St,Fast Food,Newton,Casey's General Store,62448,IL
9175 De Soto Ave,Fast Food Restaurants,Chatsworth,Chipotle Mexican Grill,91311,CA
328 N Main St,Fast Food Restaurants,Cedartown,McDonald's,30125,GA
3025 Main St,Fast food restaurants,Glastonbury,Burger King,6033,CT
2834 Main St,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,Boston Market,6033,CT
605 E Broadway St,Fast Food Restaurant,Campbellsville,McDonald's,42718,KY
1602 E Broadway St,Fast Food Restaurant,Campbellsville,SUBWAY,42718,KY
1475 Holiday Ln,Fast food restaurants,Fairfield,Burger King,94534,CA
1442 Winchester Ave,Fast Food Restaurants,Ashland,Fat Patty's,41101,KY
12759 Us Route 60,Fast Food Restaurants,Ashland,Dairy Queen,41102,KY
1439 S US Highway 1,Fast Food Restaurants,Fort Pierce,Pizza Hut,34950,FL
12915 Cortez Blvd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Brooksville,Arby's,34613,FL
